"SESARTICLE_PLUGIN";"Advanced Article Plugin"
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Choose Album";"Choose Album"
"Drag & Drop";"Drag & Drop"
"From URL";"From URL"
"Multi Upload";"Multi Upload"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"
"Claim For Article";"Claim For Article"
"Enter Article Title";"Enter Article Title"
"Your Name";"Your Name"
"Your Email";"Your Email"
"Contact Number";"Contact Number"
"Reason For Claim";"Reason For Claim"
"Write New Entry";"Write New Entry"
"All Reviews";"All Reviews"
"Recommended Only";"Recommended Only"
"Compose your new article entry below, then click ""Post Entry"" to publish the entry to your article.";"Compose your new article entry below, then click ""Post Entry"" to publish the entry to your article."
"Custom Url";"Custom Url"
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Upload photos";"Upload photos"
"Main Photo";"Main Photo"
"Article Description";"Article Description"
"Article Layout";"Article Layout"
"Set Your Article Template";"Set Your Article Template"
"Who may see this article entry?";"Who may see this article entry?"
"Who may post comments on this article entry?";"Who may post comments on this article entry?"
"Comment Privacy";"Comment Privacy"
"Privacy";"Privacy"
"Status";"Status"
"Post Entry";"Post Entry"
"Video Uploads";"Video Uploads"
"Who may upload videos to this article?";"Who may upload videos to this article?"
"Music Uploads";"Music Uploads"
"Who may upload musics to this article?";"Who may upload musics to this article?"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this article entry?";"Are you sure you want to delete this article entry?"
"Edit Article Entry";"Edit Article Entry"
"Edit your entry below, then click ""Save Changes"" to publish the entry on your article.";"Edit your entry below, then click ""Save Changes"" to publish the entry on your article."
"Custom Fields Entry";"Custom Fields Entry"
"Edit custom fields below, then click ""Post Form"" to publish the entry on your article.";"Edit custom fields below, then click ""Post Form"" to publish the entry on your article."
"Choose the location.";"Choose the location."
"Add Location";"Add Location"
"Edit Location";"Edit Location"
"Search Articles";"Search Articles"
"Browse By";"Browse By"
"Only Articles With Photos";"Only Articles With Photos"
"Sesarticle Styles";"Sesarticle Styles"
"Subscribe";"Subscribe"
"Unsubscribe";"Unsubscribe"
"Edit Review";"Edit Review"
"Delete Review";"Delete Review"
"Back To Article";"Back To Article"
"Cancel Uploading";"Cancel Uploading"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."
"Edit Photo";"Edit Photo"
"Image Description";"Image Description"
"Photo Albums";"Photo Albums"
"View More";"View More"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s article";"%s article";"%s articles"
"%s favourite";"%s favourite";"%s favourites"
"%s rating";"%s rating";"%s ratings"
"%s photo";"%s photo";"%s photos"
"Albums";"Albums"
"Article Roles";"Article Roles"
"Contact Information";"Contact Information"
"Below, you can add admins to your article who all will be able to do anything on your article as you do including editing, creating sub article, etc.";"Below, you can add admins to your article who all will be able to do anything on your article as you do including editing, creating sub article, etc."
"Type Member Name";"Type Member Name"
"Add Another Member";"Add Another Member"
"Save Admin";"Add Admin"
"Admins";"Admins"
"And so when Rihanna, in the middle of soaking up the sun on her swan float — a required activity for all celebrities — realized that she was losing her balance, her priorities were clear. RiRi gloriously emerged like Aphrodite from the water, wine glass in hand.";"Here, you can see a list of admins added by you for this article."
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"View Article";"View Article"
"Delete Article";"Delete Article"
"FEATURED";"FEATURED"
"SPONSORED";"SPONSORED"
"VERIFIED";"VERIFIED"
"Location";"Location"
"Name";"Name"
"Enter a location";"Enter a location"
"Sesarticles";"Sesarticles"
"You have already uploaded the maximum number of entries allowed.";"You have already uploaded the maximum number of entries allowed."
"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first.";"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first."
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"by";"by"
"Read More...";"Read More..."
"Edit Article";"Edit Article"
"Start Time";"Start Time"
"Article Schedule date is in the past. Please enter an article scheduled date greater than or equal to today\'s date.'";"Article Schedule date is in the past. Please enter an article scheduled date greater than or equal to today\'s date.'"
"Edit Thumbnail";"Edit Thumbnail"
"Read More";"Read More"
"Share Review";"Share Review"
"Description";"Description"
"articles found.";"articles found."
"article found.";"article found."
"List View";"List View"
"Advanced List View";"Advanced List View"
"Grid View";"Grid View"
"Advanced Grid View";"Advanced Grid View"
"Super Advanced Grid View";"Super Advanced Grid View"
"Pinboard View";"Pinboard View"
" by ";" by "
"Nobody has posted a article with that criteria.";"Nobody has posted a article with that criteria."
"Be the first to %1$spost%2$s one";"Be the first to %1$spost%2$s one"
"There are currently no %s";"There are currently no %s"
"%1$spost%2$s one!";"%1$spost%2$s one!"
"Post New Video";"Post New Video"
"Nobody has created a article yet.";"Nobody has created a article yet."
"Category:";"Category:"
"click to rate";"click to rate"
"terrible";"terrible"
"poor";"poor"
"average";"average"
"very good";"very good"
"excellent";"excellent"
"Overall Rating";"Overall Rating"
"Share";"Share"
"Share This %s";"Share This %s"
"Private Message";"Private Message"
"Share on Site";"Share on Site"
"Quick Share on Site";"Quick Share on Site"
"Upload Cover Photo";"Upload Cover Photo"
"Take Photo";"Take Photo"
"Add Cover Photo";"Add Cover Photo"
"Change Cover Photo";"Change Cover Photo"
"Remove Cover Photo";"Remove Cover Photo"
"Added %1$s";"Added %1$s"
"Album Info";"Album Info"
"Discussion";"Discussion"
"Photos";"Photos"
"Options";"Options"
"Add More Photos";"Add More Photos"
"Edit Settings";"Edit Settings"
"By";"By"
"No description found.";"No description found."
"Click to Take Cover Photo";"Click to Take Cover Photo"
"Take Cover Photo""";"Take Cover Photo"""
"Select a cover photo";"Select a cover photo"
"No category found.";"No category found."
"Contact Email";"Contact Email"
"Contact Phone Number";"Contact Phone Number"
"Website URL";"Website URL"
"Facebook URL";"Facebook URL"
"Write a Review";"Write a Review"
"about";"about"
"Pros: ";"Pros: "
"Cons: ";"Cons: "
"Description: ";"Description: "
"Continue Reading";"Continue Reading"
"No review have been posted in this article yet.";"No review have been posted in this article yet."
"Share it";"Share it"
"SHARE ON FACEBOOK";"SHARE ON FACEBOOK"
" SHARE ON TWITTER";" SHARE ON TWITTER"
" PIN THIS POST";" PIN THIS POST"
"Featured";"Featured"
"Verified";"Verified"
"For ";"For "
"Continue Reading »";"Continue Reading »"
"No review have been posted yet.";"No review have been posted yet."
"Nobody has created an article yet.";"Nobody has created an article yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Categories";"Categories"
"No article in this  category.";"No article in this  category."
"Be the first to %1$spost%2$s one in this category!";"Be the first to %1$spost%2$s one in this category!"
"Claim New Article";"Claim New Article"
"Your Claim Requests";"Your Claim Requests"
"Article Owner: <a href="""">admin</a>";"Article Owner: <a href="""">admin</a>"
"Previous";"Previous"
"Next";"Next"
"Add Tag";"Add Tag"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Open image in image viewer";"Open image in image viewer"
"Photo %1$s of %2$s";"Photo %1$s of %2$s"
"in %1$s";"in %1$s"
"Tagged";"Tagged"
"Make Profile Photo";"Make Profile Photo"
"Posted";"Posted"
"Add New Album";"Add New Album"
"%s album found";"%s album found";"%s albums found"
"Manage Photos";"Manage Photos"
"%s <span>photo</span>";"%s <span>photo</span>";"%s <span>photos</span>"
"Reviews";"Reviews"
"Summary";"Summary"
"For";"For"
"See All Tags";"See All Tags"
"Anything in here will be replaced on browsers that support the canvas element";"Anything in here will be replaced on browsers that support the canvas element"
"Total Article:";"Total Articles:"
"<i>Posted by -</i>";"<i>Posted by -</i>"
"<i>on - </i>";"<i>on - </i>"
"<i>Filed in - </i>";"<i>Filed in - </i>"
"Create Sub Article";"Create Sub Article"
"Dashboard";"Dashboard"
"Delete This Article";"Delete This Article"
"Post Comment";"Post Comment"
"ITEM_TYPE_SESARTICLE_ALBUM";"Article Albums"
"ITEM_TYPE_SESARTICLE_ARTICLE";"Articles"
"ITEM_TYPE_SESARTICLE_REVIEW";"Article Reviews"
"ADMIN_ACTIVITY_TYPE_ARTICLE_NEW";"When a user (subject) posts a new article entry (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_ARTICLE";"When a user (subject) comments on another user's (object) article entries."
"_ACTIVITY_ACTIONTYPE_ARTICLE_NEW";"New article entries"
"_ACTIVITY_ACTIONTYPE_COMMENT_ARTICLE";"Comments on your articles"
"ACTIVITY_TYPE_COMMENTED_ARTICLE";"When someone comments on a article I commented on."
"ACTIVITY_TYPE_COMMENT_ARTICLE";"When someone comments on one of my article entries."
"ACTIVITY_TYPE_LIKED_ARTICLE";"When someone comments on a article entry I liked."
"ACTIVITY_TYPE_LIKE_ARTICLE";"When someone likes one of my article entries."
"ACTIVITY_TYPE_ARTICLE_NEW";"When a new article entry is posted."
"ACTIVITY_TYPE_ARTICLE_SUBSCRIBED_NEW";"When a new article entry is posted by a member you have subscribed to."
"{item:$subject} wrote a new sesarticle entry:";"{item:$subject} wrote a new article entry:"
"{item:$subject} commented on {item:$owner}'s {item:$object:sesarticle entry}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:article entry}: {body:$body}"
"ITEM_TYPE_ARTICLE";"Article Entries"
"{item:$subject} has posted a new sesarticle entry: {item:$object}.";"{item:$subject} has posted a new article entry: {item:$object}."
"Are you sure you want to delete this sesarticle entry?";"Are you sure you want to delete this article entry?"
"Recent Entries";"Recent Entries"
"Tags";"Tags"
"_EMAIL_NOTIFY_SESARTICLE_SUBSCRIBED_NEW_TITLE";"Article Subscription"
"_EMAIL_NOTIFY_SESARTICLE_SUBSCRIBED_NEW_DESCRIPTION";"This email is sent to someone when a article entry is posted by a member to whom they have subscribed."
"_EMAIL_NOTIFY_SESARTICLE_SUBSCRIBED_NEW_SUBJECT";"[sender_title] posted a new article entry: [object_title]"
"_EMAIL_NOTIFY_SESARTICLE_SUBSCRIBED_NEW_BODY";"[header]

[sender_title] has posted a new article entry: [object_title].
Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_SESARTICLE_ARTICLE_OWNER_CLAIM_TITLE";"SES - Advanced Articles - Claim Request to Article Owner"
"_EMAIL_SESARTICLE_ARTICLE_OWNER_CLAIM_DESCRIPTION";"This email is sent to the article owner when a member claim their article."
"_EMAIL_SESARTICLE_ARTICLE_OWNER_CLAIM_SUBJECT";"A member has claimed your article."
"_EMAIL_SESARTICLE_ARTICLE_OWNER_CLAIM_BODY";"[header]

[sender_title] has sent you a message using the Claim For Article page:"
"_EMAIL_SESARTICLE_SITE_OWNER_FOR_CLAIM_TITLE";"SES - Advanced Articles - Claim Request to Site Owner"
"_EMAIL_SESARTICLE_SITE_OWNER_FOR_CLAIM_DESCRIPTION";"This email is sent to site owners to take action on claim request for article."
"_EMAIL_SESARTICLE_SITE_OWNER_FOR_CLAIM_SUBJECT";"A member has claimed a article."
"_EMAIL_SESARTICLE_SITE_OWNER_FOR_CLAIM_BODY";"[header]

[sender_title] has sent you a message to take action on the claim request for article:

[message]

[footer]"
"_EMAIL_SESARTICLE_CLAIM_OWNER_APPROVE_TITLE";"SES - Advanced Articles - Claim Approval to Article Owner"
"_EMAIL_SESARTICLE_CLAIM_OWNER_APPROVE_DESCRIPTION";"This email is sent to the article owner when site admin approve the claim request of article."
"_EMAIL_SESARTICLE_CLAIM_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the article."
"_EMAIL_SESARTICLE_CLAIM_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESARTICLE_ARTICLE_OWNER_APPROVE_TITLE";"SES - Advanced Articles - Claim Approval to Article Owner"
"_EMAIL_SESARTICLE_ARTICLE_OWNER_APPROVE_DESCRIPTION";"This email is sent to the article owner when site admin approve the claim request of article."
"_EMAIL_SESARTICLE_ARTICLE_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the article."
"_EMAIL_SESARTICLE_ARTICLE_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESARTICLE_CLAIM_OWNER_REQUEST_CANCEL_TITLE";"SES - Advanced Articles - Claim Rejection to Claimer"
"_EMAIL_SESARTICLE_CLAIM_OWNER_REQUEST_CANCEL_DESCRIPTION";"This email is sent to the claimer when site admin rejects the claim request of article."
"_EMAIL_SESARTICLE_CLAIM_OWNER_REQUEST_CANCEL_SUBJECT";"Site owner has rejected your claim request for the article."
"_EMAIL_SESARTICLE_CLAIM_OWNER_REQUEST_CANCEL_BODY";"[header]

[sender_title] has sent you a message for rejection of the claim:

[message]

[footer]"
"Article Home";"Article Home"
"Browse Articles";"Browse Articles"
"My Articles";"My Articles"
"Write New Article";"Write New Article"
"Articles";"Articles"
"Everyone's Articles";"Everyone's Articles"
"Only My Friend's Articles";"Only My Friend's Articles"
"Article Reviews";"Article Reviews"
"Article Schedule date is in the past. Please enter an article scheduled date greater than or equal to today's date.";"Article Schedule date is in the past. Please enter an article scheduled date greater than or equal to today's date."
"Share This Article";"Share This Article"
"Articles Home";"Articles Home"
"Recent Articles";"Recent Articles"
"Popular Articles";"Popular Articles"
"Recommend Article";"Recommend Article"
"Articles Created";"Articles Created"
"Explore Popular Articles";"Explore Popular Articles"
"Verified Article";"Verified Article"
"Most Commented Articles";"Most Commented Articles"
"Article of the Day";"Article of the Day"
"Most Favourite Articles";"Most Favourite Articles"
"Most Read Articles";"Most Read Articles"
"%s ARTICLE";"%s ARTICLE";"%s ARTICLES"
"Sponsored Article Posts";"Sponsored Article Posts"
"_ACTIVITY_ACTIONTYPE_COMMENT_SESARTICLE";"Comments on your articles"
"_ACTIVITY_ACTIONTYPE_SESARTICLE_ARTICLE_FAVOURITE";"Marking articles as favorite"
"_ACTIVITY_ACTIONTYPE_SESARTICLE_ARTICLE_LIKE";"Liking article"
"_ACTIVITY_ACTIONTYPE_SESARTICLE_ALBUM_LIKE";"Liking article photo"
"_ACTIVITY_ACTIONTYPE_SESARTICLE_PHOTO_LIKE";"Liking article album photo"
"_ACTIVITY_ACTIONTYPE_SESARTICLE_NEW";"New article enteries"
"ACTIVITY_TYPE_SESARTICLE_CLAIM_APPROVE";"When your claim for a article is approved."
"ACTIVITY_TYPE_SESARTICLE_CLAIM_DECLINED";"When your claim for a article is declined."
"ACTIVITY_TYPE_SESARTICLE_OWNER_INFORMED";"When someone's claim on your article is approved."
"ACTIVITY_TYPE_SESARTICLE_SUBSCRIBED_NEW";"When a new article entry is posted by a member you have subscribed to."
"ACTIVITY_TYPE_SESUSER_CLAIM_ARTICLE";"When someone claims your article."
"ADMIN_ACTIVITY_TYPE_SESARTICLE_NEW";"When a new article entry is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_SESARTICLE";"When a user (subject) comments on another user's (object) article."
"ADMIN_ACTIVITY_TYPE_SESARTICLE_ARTICLE_FAVOURITE";"When a user (subject) mark another user's (object) article as favourite."
"ADMIN_ACTIVITY_TYPE_SESARTICLE_ARTICLE_LIKE";"When a user (subject) likes another user's (object) article."
"ADMIN_ACTIVITY_TYPE_SESARTICLE_ALBUM_LIKE";"When a user (subject) likes another user's (object) article's album."
"ADMIN_ACTIVITY_TYPE_SESARTICLE_PHOTO_LIKE";"When a user (subject) likes another user's (object) article album's photo."
"ARTICLE_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
