"SESCROWDFUNDING_PLUGIN";"Crowdfunding Plugin"
"_EMAIL_SESCROWDFUNDING_PAYMENT_REQUESTADMIN_BODY";"[header]

[crowdfunding_owner] has been send you payment request for his crowdfunding: [crowdfunding_title]

Crowdfunding Link: http://[host][object_link]

[footer]"


# SESCROWDFUNDING_PAYMENT_ADMINREQUESTAPPROVED
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTAPPROVED_TITLE";"Crowdfunding Payment Request Approved By Admin"
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTAPPROVED_DESCRIPTION";"This is the email that gets sent to a crowdfunding owner when admin approved payment request."
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTAPPROVED_SUBJECT";"Admin approved crowdfunding payment request for [crowdfunding_title]"
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTAPPROVED_BODY";"[header]

Site Admin has been approved your crowdfunding payment request for crowdfunding: [crowdfunding_title]

Crowdfunding Link: http://[host][object_link]

[footer]"


# SESCROWDFUNDING_PAYMENT_ADMINREQUESTCANCEL
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTCANCEL_TITLE";"Crowdfunding Payment Request Cancel By Admin"
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTCANCEL_DESCRIPTION";"This is the email that gets sent to a crowdfunding owner when admin cancel payment request."
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTCANCEL_SUBJECT";"Admin cancel crowdfunding payment request for [crowdfunding_title]"
"_EMAIL_SESCROWDFUNDING_PAYMENT_ADMINREQUESTCANCEL_BODY";"[header]

Site Admin has been cancelled your crowdfunding payment request for crowdfunding: [crowdfunding_title]

Crowdfunding Link: http://[host][object_link]

[footer]"


# SESCROWDFUNDING_TELLAFRIENDEMAIL

"_EMAIL_SESCROWDFUNDING_TELLAFRIENDEMAIL_TITLE";"Crowdfunding Tell a Friend Email"
"_EMAIL_SESCROWDFUNDING_TELLAFRIENDEMAIL_DESCRIPTION";"This is the email that sent to friends when a user wants to tell them about a crowdfunding."
"_EMAIL_SESCROWDFUNDING_TELLAFRIENDEMAIL_SUBJECT";"[sender_name] wants you to visit this crowdfunding"
"_EMAIL_SESCROWDFUNDING_TELLAFRIENDEMAIL_BODY";"[header]

Your friend [sender_name] with email id: [sender_email] wants you to look at the crowdfunding: [crowdfunding_title].

To view and explore this crowdfunding, click on the link below, or copy-paste it in your browser:
[object_link]

Your friend has also sent a message:

[message]

[footer]"

"ITEM_TYPE_CROWDFUNDING";"Crowdfunding"
"_ACTIVITY_ACTIONTYPE_COMMENT_SESCROWDFUNDING";"When I comment on a crowdfunding campaign."
"_ACTIVITY_ACTIONTYPE_SESCROWDFUNDING_CREATE";"When I create a new crowdfunding campaign."
"_ACTIVITY_ACTIONTYPE_SESCROWDFUNDING_LIKE_CROWDFUNDIN";"When I like a crowdfunding campaign."

"ACTIVITY_TYPE_SESCROWDFUNDING_ADMINPAYMENTAPPR";"When my Crowdfunding Payment Request is Approved by Admin."
"ACTIVITY_TYPE_SESCROWDFUNDING_ADMINPAYMENTCANC";"When my Crowdfunding Payment is Rejected by Admin."
"ACTIVITY_TYPE_SESCROWDFUNDING_DONATION_OWNER";"When I received a donation for my Crowdfunding Campaign."
"ACTIVITY_TYPE_SESCROWDFUNDING_PAYMENTREQUEST";"When someone make Payment request for Crowdfunding."

"ADMIN_ACTIVITY_TYPE_COMMENT_SESCROWDFUNDING";"When a user (subject) comment on a crowdfunding campaign (object)."
"ADMIN_ACTIVITY_TYPE_SESCROWDFUNDING_CREATE";"When a user (subject) creates a crowdfunding campaign (object)."
"ADMIN_ACTIVITY_TYPE_SESCROWDFUNDING_LIKE_CROWDFUNDIN";"When a user (subject) likes  a crowdfunding campaign (object)."

"Advertise Crowdfunding";"Advertise Crowdfunding"
"Make your Crowdfunding more popular inside and outside this social network by advertising it using the below mentioned effective ways.";"Make your Crowdfunding more popular inside and outside this social network by advertising it using the below mentioned effective ways."
"Send as Message";"Send as Message"
"Invite your friends to like and follow your Crowdfunding by sending them message in private.";"Invite your friends to like and follow your Crowdfunding by sending them message in private."
"Share on Site";"Share on Site"
"Share your Crowdfunding on this site with a beautiful ad to make it more popular among site members.";"Share your Crowdfunding on this site with a beautiful ad to make it more popular among site members."
"Quick Share on Site";"Quick Share on Site"
"Share your Crowdfunding on this site by making a quick post.";"Share your Crowdfunding on this site by making a quick post."
"Tell a friend";"Tell a friend"
"Invite your friends to join your Crowdfunding by sharing the importance of the Crowdfunding with a small note.";"Invite your friends to join your Crowdfunding by sharing the importance of the Crowdfunding with a small note."
"Social Share";"Social Share"
"Share the post of your Crowdfunding to other sites to gather more audience and members.";"Share the post of your Crowdfunding to other sites to gather more audience and members."
"Manage Announcements";"Manage Announcements"
"Here, you can create announcements to post them on the View Page. You can also edit and delete the announcements listed on this Page.";"Here, you can create announcements to post them on the View Page. You can also edit and delete the announcements listed on this Page."
"Post New Announcement";"Post New Announcement"
"%d announcements total";"%d announcements total"
"ID";"ID"
"Title";"Title"
"Creation Date";"Creation Date"
"Options";"Options"
"Delete Selected";"Delete Selected"
"There are currently no announcements.";"There are currently no announcements."
"Payment Details";"Payment Details"
"Crowdfunding Name";"Crowdfunding Name"
"Owner";"Owner"
"Request Id";"Request Id"
"Requested Amount";"Requested Amount"
"Requested Date";"Requested Date"
"Requested Message";"Requested Message"
"Released Amount";"Released Amount"
"Response Message";"Response Message"
"Status";"Status"
"Donation Reports";"Donation Reports"
"Below, you can see the donation report of crowdfunding. Entering criteria into the filter fields will help you find specific reports. You can also download the reports in csv and excel formats.";"Below, you can see the donation report of crowdfunding. Entering criteria into the filter fields will help you find specific reports. You can also download the reports in csv and excel formats."
"Download Report in CSV";"Download Report in CSV"
"Download Report in Excel";"Download Report in Excel"
"S.No";"S.No"
"Donor Name";"Donor Name"
"Date of Donation";"Date of Donation"
"Total Amount";"Total Amount"
"FREE";"FREE"
"No one has donated yet.";"No one has donated yet."
"Donations Stats";"Donations Stats"
"Today";"Today"
"This Week";"This Week"
"This Month";"This Month"
"Total Donors";"Total Donors"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."
"Convert to %s";"Convert to %s"
"View Crowdfunding";"View Crowdfunding"
"Delete Crowdfunding";"Delete Crowdfunding"
"Category";"Category"
"Please complete the red mark fields";"Please complete the red mark fields"
"Manage Photos";"Manage Photos"
"Add More Photos";"Add More Photos"
"Make Payment Request";"Make Payment Request"
"Threshold Amount:";"Threshold Amount:"
"You do not have any Payment Request submitted yet %1$sClick Here%2$s to submit.";"You do not have any Payment Request submitted yet %1$sClick Here%2$s to submit."
"Total Orders";"Total Orders"
"Total Amount";"Total Amount"
"Commission Amount";"Commission Amount"
"Total Amount After Commission";"Total Amount After Commission"
"Total Remaining Amount";"Total Remaining Amount"
"Make Request For Payment.";"Make Request For Payment."
"Amount Requested";"Amount Requested"
"Release Amount";"Release Amount"
"Release Date";"Release Date"
"Status";"Status"
"Options";"Options"
"Edit Request";"Edit Request"
"Delete Request";"Delete Request"
"View Details";"View Details"
"You do not have any pending Payment Request yet.";"You do not have any pending Payment Request yet."
"Payments Received";"Payments Received"
"Here, you are viewing the details of payments received from the website.";"Here, you are viewing the details of payments received from the website."
"Released Date";"Released Date"
"No transactions have been made yet.";"No transactions have been made yet."
"Manage Rewards";"Manage Rewards"
"Here, you can create rewards to post them on the crowdfunding view page. You can also edit and delete the rewards listed on this Page.";"Here, you can create rewards to post them on the crowdfunding view page. You can also edit and delete the rewards listed on this Page."
"Post New Reward";"Post New Reward"
"%d rewards total";"%d rewards total"
"Amount";"Amount"
"There are currently no rewards.";"There are currently no rewards."
"Featured";"Featured"
"Sponsored";"Sponsored"
"Verified";"Verified"
"Location";"Location"
"Rich Editor";"Rich Editor"
"Custom Fields";"Custom Fields"
"Modules";"Modules"
"FREE";"FREE"
"Unlimited";"Unlimited"
"Cancel";"Cancel"
"Select a photo";"Select a photo"
"Loading";"Loading"
"View Donors";"View Donors"
"Say Thank You";"Say Thank You"
"Ordered On %s";"Ordered On %s"
"Order Id:";"Order Id:"
"There are no donor yet.";"There are no donor yet."
"Custom URL is not available. Please select another URL.";"Custom URL is not available. Please select another URL."
"Submitting Form ...";"Submitting Form ..."
"You have already uploaded the maximum number of entries allowed.";"You have already uploaded the maximum number of entries allowed."
"If you would like to upload a new entry, please <a href="%1$s">delete</a> an old one first.";"If you would like to upload a new entry, please <a href="%1$s">delete</a> an old one first."
"Please fill the red mark fields";"Please fill the red mark fields"
"Convert to %s";"Convert to %s"
"Payment Completed";"Payment Completed"
"Thank you! Your payment has completed successfully.";"Thank you! Your payment has completed successfully."
"Continue";"Continue"
"Crowdfunding / Charity / Fundraising / Donations Plugin";"Crowdfunding / Charity / Fundraising / Donations Plugin"
"End Date";"End Date"
"Crowdfunding Expire date is in the past. Please enter crowdfunding Expire date greater than or equal to today\'s date.";"Crowdfunding Expire date is in the past. Please enter crowdfunding Expire date greater than or equal to today\'s date."
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"File Upload";"File Upload"

"Upload a Photo:";"Upload a Photo:"

"Add Photos";"Add Photos"
"Clear List";"Clear List"
"Edit Thumbnail";"Edit Thumbnail"
"Apply Changes";"Apply Changes"
"or";"or"
"cancel";"cancel"
"Loading...";"Loading..."
"Previous";"Previous"
"Next";"Next"
"crowdfunding found.";"crowdfunding found."
"Crowdfunding Found.";"Crowdfunding Found."
"List View";"List View"
"Grid View";"Grid View"
"FEATURED";"FEATURED"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"%s like";"%s like";"%s likes"
"%s comment";"%s comment";"%s comments"
"%s view";"%s view";"%s views"
"%s rating";"%s rating";"%s ratings"
" Completed";" Completed"
"Expired";"Expired"
"Unlimited";"Unlimited"
"RAISED";"RAISED"
"Donors";"Donors"
"Donor";"Donor"
"GOAL";"GOAL"
"View";"View"
"Created by ";"Created by "
"Nobody has posted a crowdfunding with that criteria.";"Nobody has posted a crowdfunding with that criteria."
"Be the first to %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"
"Nobody has created a crowdfunding yet.";"Nobody has created a crowdfunding yet."
"There are currently no %s";"There are currently no %s"
"%1$spost%2$s one!";"%1$spost%2$s one!"
"View More";"View More"
"Share";"Share"
"Share This ";"Share This "
"Private Message";"Private Message"
"Crowdfunding";"Crowdfunding"
"More +";"More +"
"%s crowdfunding";"%s crowdfunding";"
"No categories found.";"No categories found."
"No crowdfunding in this  category.";"No crowdfunding in this  category."
"Be the first to %1$spost%2$s one in this category!";"Be the first to %1$spost%2$s one in this category!"
"Change Overview";"Change Overview"
"Add Overview";"Add Overview"
"There is currently no overview.";"There is currently no overview."
"You have donated %s";"You have donated %s"
"You do not have donate yet.";"You do not have donate yet."
"Dashboard";"Dashboard"
"Delete";"Delete"
"You do not have any campaign entries.";"You do not have any campaign entries."
"My all Donations";"My all Donations"
"This page lists all the donations you have made on various crowdfundings on this site.";"This page lists all the donations you have made on various crowdfundings on this site."
"Given by ";"Given by "
"on %s";"on %s"
"Donation Amount %s";"Donation Amount %s"
"Full Name";"Full Name"
"Email:";"Email:"
"Country:";"Country:"
"State:";"State:"
"City:";"City:"
"Street:";"Street:"
"Phone:";"Phone:"
"Website URL: ";"Website URL: "
"Website URL";"Website URL"
"Facebook URL: ";"Facebook URL: "
"Twitter URL: ";"Twitter URL: "
"About Me";"About Me"
"Share This %s";"Share This %s"
"Crowdfunding Home";"Crowdfunding Home"
"Browse Crowdfundings";"Browse Crowdfundings"
"you already rated";"you already rated"
"click to rate";"click to rate"
"Thanks for rating!";"Thanks for rating!"
"likes";"likes"
"views";"views"
"Story";"Story"
"Other Info";"Other Info"
"Unlike";"Unlike"
"Like";"Like"
"Raised of %s Goal";"Raised of %s Goal"
"Days Left";"Days Left"
"DONATE";"DONATE"
"Successfully Completed";"Successfully Completed"
"Location Information";"Location Information"
"City:";"City:"
"Delhi";"Delhi"
"State:";"State:"
"Country:";"Country:"
"India";"India"
"ZIP Code:";"ZIP Code:"
"235648";"235648"
"Minimum Donation Amount:";"Minimum Donation Amount:"
"Anything in here will be replaced on browsers that support the canvas element";"Anything in here will be replaced on browsers that support the canvas element"
"See All Tags";"See All Tags"
"My Crowdfundings";"My Crowdfundings"
"Total Crowdfundings:";"Total Crowdfundings:"
"Total Featured Crowdfundings:";"Total Featured Crowdfundings:"
"Total Crowdfunding Albums:";"Total Crowdfunding Albums:"
"Total Crowdfunding Photos:";"Total Crowdfunding Photos:"
"Total Reviews:";"Total Reviews:"
"Total Comments:";"Total Comments:"
"Total Views:";"Total Views:"
"Total Likes:";"Total Likes:"
"Miles";"Miles"
"Show";"Show"
"Browse By";"Browse By"
"Search Crowdfundings";"Search Crowdfundings"
"Browse Categories";"Browse Categories"
"My All Donations";"My All Donations"
"Create Crowdfunding";"Create Crowdfunding"
"Manage Received Donations";"Manage Received Donations"
"Crowdfunding Owner FAQs";"Crowdfunding Owner FAQs"
"Donors FAQs";"Donors FAQs"
"Recently Created";"Recently Created"
"Most Viewed";"Most Viewed"
"Most Liked";"Most Liked"
"Most Commented";"Most Commented"
"Most Rated";"Most Rated"
"Everyone's Crowdfundings";"Everyone's Crowdfundings"
"Only My Friend's Crowdfundings";"Only My Friend's Crowdfundings"


"Add background photo for your crowdfunding";"Add background photo for your crowdfunding"
"Remove";"Remove"
"Save";"Save"
"submit";"submit"
"Remove Photo";"Remove Photo"
" or ";" or "
"Name";"Name"
"About Me";"About Me"
"Delete Announcement";"Delete Announcement"
"Are you sure you want to delete this crowdfunding announcement?";"Are you sure you want to delete this crowdfunding announcement?"
"Delete Reward";"Delete Reward"
"Are you sure you want to delete this crowdfunding reward?";"Are you sure you want to delete this crowdfunding reward?"
"Crowdfunding Contact Information";"Crowdfunding Contact Information"
"Edit Announcement";"Edit Announcement"
"Caption";"Caption"
"Edit Reward";"Edit Reward"
"Edit Location";"Edit Location"
"Choose the location.";"Choose the location."
"Add Location";"Add Location"
"edit-location";"edit-location"
"Location";"Location"
"Latitude";"Latitude"
"Longitude";"Longitude"
"ZIP Code";"ZIP Code"
"City";"City"
"State";"State"
"Country";"Country"
"Save Location";"Save Location"
"Save Changes";"Save Changes"
"Change Crowdfunding Overview";"Change Crowdfunding Overview"
"Detailed Overview";"Detailed Overview"
"Enter detailed overview about the Crowdfunding.";"Enter detailed overview about the Crowdfunding."
"Make Payment Request";"Make Payment Request"
"Total Amount";"Total Amount"
"Total Remaining Amount";"Total Remaining Amount"
"Request Amount";"Request Amount"
"Message";"Message"
"Send";"Send"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"Remove Photo";"Remove Photo"
"Post New Announcement";"Post New Announcement"
"Please compose your new announcement below.";"Please compose your new announcement below."
"Body";"Body"
"Post Announcement";"Post Announcement"
"Post New Reward";"Post New Reward"
"Please enter details for reward below.";"Please enter details for reward below."
"Minimum Donor Amount";"Minimum Donor Amount"
"Main Photo";"Main Photo"
"Post Reward";"Post Reward"
"crowdfunding";"crowdfunding"
"Duration";"Duration"
"Start Date";"Start Date"
"End Date";"End Date"
"Search Report";"Search Report"
"Add SEO";"Add SEO"
"Crowdfunding SEO Title";"Crowdfunding SEO Title"
"Enter list of keywords separated by a comma (,)";"Enter list of keywords separated by a comma (,)"
"Crowdfunding SEO Keywords";"Crowdfunding SEO Keywords"
"Crowdfunding SEO Description";"Crowdfunding SEO Description"
"Styles";"Styles"
"Custom Crowdfunding Styles";"Custom Crowdfunding Styles"
"You can change the colors, fonts, and styles of your crowdfunding by adding CSS code below. The contents of the text area below will be output between <style> tags on your event.";"You can change the colors, fonts, and styles of your crowdfunding by adding CSS code below. The contents of the text area below will be output between <style> tags on your event."
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Save Photos";"Save Photos"
"Compose Message";"Compose Message"
"Create your new message with the form below. Your message can be addressed to up to 10 recipients.";"Create your new message with the form below. Your message can be addressed to up to 10 recipients."
"Send To";"Send To"
"Subject";"Subject"
"Send Message";"Send Message"
"Create your new crowdfunding entry below, then click "Create Crowdfunding" to publish the entry to your crowdfunding.";"Create your new crowdfunding entry below, then click "Create Crowdfunding" to publish the entry to your crowdfunding."
"Custom URl";"Custom URL"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Expire Campaign";"Expire Campaign"
"Do you want to expire this campaign? Choose Yes, to select the expiry date.";"Do you want to expire this campaign? Choose Yes, to select the expiry date."
"Short Description";"Short Description"
"Description";"Description"
"Privacy";"Privacy"
"Who may see this crowdfunding entry?";"Who may see this crowdfunding entry?"
"Comment Privacy";"Comment Privacy";
"Who may post comments on this crowdfunding entry?";"Who may post comments on this crowdfunding entry?"
"Video Upload Privacy";"Video Upload Privacy"
"Who may upload videos to this crowdfunding?";"Who may upload videos to this crowdfunding?"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Show this crowdfunding entry in search results";"Show this crowdfunding entry in search results"
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this crowdfunding entry?";"Are you sure you want to delete this crowdfunding entry?"
"Crowdfunding Donation";"Crowdfunding Donation"
"Enter your Donation Amount.";"Enter your Donation Amount."
"Donation Amount";"Donation Amount"
"Enter your Donation Amount which you want to donate in this crowdfunding.";"Enter your Donation Amount which you want to donate in this crowdfunding."
"Donate";"Donate"
"Edit Crowdfunding Entry";"Edit Crowdfunding Entry"
"Edit your entry below, then click "Save Changes" to publish the entry on your crowdfunding.";"Edit your entry below, then click "Save Changes" to publish the entry on your crowdfunding."
"Goal";"Goal"
"Crowdfunding Description";"Crowdfunding Description"
"Everyone";"Everyone"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Search Crowdfunding";"Search Crowdfunding"
"Kilometer:";"Kilometer:"
"Please fill the form given below and send it to your friends. Through this you can let them know about this Crowdfunding.";"Please fill the form given below and send it to your friends. Through this you can let them know about this Crowdfunding."
"Your Name";"Your Name"
"Your Email";"Your Email"
"To";"To"
"Separate multiple addresses with commas.";"Separate multiple addresses with commas."
"You can send a personal message in the mail.";"You can send a personal message in the mail."
"Please type the characters you see in the image.";"Please type the characters you see in the image."

"FEATURED CROWDFUNDINGS SLIDESHOW";"FEATURED CROWDFUNDINGS SLIDESHOW"
"view";"view"
"Most Featured";"Most Featured"
"Grid, List view";"Grid, List view"
"Crowdfunding Of The Day";"Crowdfunding Of The Day"
"Doner FAQs";"Doner FAQs"
"Crowdfunding Navigation Menu";"Crowdfunding Navigation Menu"
"Enter a location";"Enter a location"
"Search";"Search"
"Crowdfunding Browse Search";"Crowdfunding Browse Search"
"Tags Cloud / Tab view";"Tags Cloud / Tab view"
"Popular / Featured Crowdfunding";"Popular / Featured Crowdfunding"
"TABBED WIDGET FOR POPULAR CROWDFUNDINGS";"TABBED WIDGET FOR POPULAR CROWDFUNDINGS"
"MANAGE CROWDFUNDINGS";"MANAGE CROWDFUNDINGS"
"CATEGORIES ICON";"CATEGORIES ICON"
"CATEGORY BASED CROWDFUNDINGS BLOCK VIEW";"CATEGORY BASED CROWDFUNDINGS BLOCK VIEW"
" See all";" See all"
"CATEGORIES HIERARCHY VIEW";"CATEGORIES HIERARCHY VIEW"
"CATEGORIES SQUARE BLOCK VIEW";"CATEGORIES SQUARE BLOCK VIEW"
"Category Banner widget";"Category Banner widget"

"We can''t help everyone, but everyone can help someone";"We can''t help everyone, but everyone can help someone"
"Giving is not just about making Donation it is about making Difference";"Giving is not just about making Donation it is about making Difference"
"Contact us";"Contact us"
"Read More";"Read More"
"Raise funds for anything";"Raise funds for anything"
"Combining Social Power to help you achieve your Fundraising goals";"Combining Social Power to help you achieve your Fundraising goals"
"Start A Fundraiser";"Start A Fundraiser"
"If you''re taking charge of yourself or being a kind soul to a loved one in need. Start a fundraiser.";"If you''re taking charge of yourself or being a kind soul to a loved one in need. Start a fundraiser."
"Promote Your Campaign";"Promote Your Campaign"
"Promote Your Campaign with Social Media. Take time and invest in growing your social media presence.";"Promote Your Campaign with Social Media. Take time and invest in growing your social media presence."
"Raise Maximum Funds";"Raise Maximum Funds"
"Raise funds online for yourself, loved ones, charities and more on world''s largest Crowdfunding Network.";"Raise funds online for yourself, loved ones, charities and more on world''s largest Crowdfunding Network."
"BE USEFUL TO OTHERS";"BE USEFUL TO OTHERS"
"We help thousands of People";"We help thousands of People"
"Our team of volunteers does more than ensuring that the orphan home has fresh, clean wate.";"Our team of volunteers does more than ensuring that the orphan home has fresh, clean wate."
"Who We Are";"Who We Are"
"Organization set up to provide help and raise money for those in need";"Organization set up to provide help and raise money for those in need"
"Our mission is to rescue permanently displaced and orphaned children around the world and restore their childhood in Christ as we raise them to be Disciples and leaders who bring change right where God planted them.";"Our mission is to rescue permanently displaced and orphaned children around the world and restore their childhood in Christ as we raise them to be Disciples and leaders who bring change right where God planted them."
"Create Projects";"Create Projects"
"Get your projects created and get donations from people.";"Get your projects created and get donations from people."
"Donate Money";"Donate Money"
"Your donation will help us accomplish our mission.";"Your donation will help us accomplish our mission."
"Share";"Share"
"One of the easiest ways to get more people to donate to your crowdfunding campaign.";"One of the easiest ways to get more people to donate to your crowdfunding campaign."
"Support";"Support"
"Get lifetime free support on your query, doubts, and suggetions.";"Get lifetime free support on your query, doubts, and suggetions."
"Charity Sees The Need, Not The Cause";"Charity Sees The Need, Not The Cause"
"One day when the lady met this fellows and they knew it was much more than a hunch and when the odds and we know Flipper lives in a world full of been wonder flying.";"One day when the lady met this fellows and they knew it was much more than a hunch and when the odds and we know Flipper lives in a world full of been wonder flying."
"Donate Now";"Donate Now"
"Don''t miss out on what's happening in your community";"Don''t miss out on what's happening in your community"
"Its very easy to find your own Groups or create new one.";"Its very easy to find your own Groups or create new one."
"Or";"Or"
