"SESLISTING_PLUGIN";"Advanced Listing Plugin"
"Do you recommend this listing to other users?";"Do you recommend this listing to other users?"
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Choose Album";"Choose Album"
"Drag & Drop";"Drag & Drop"
"From URL";"From URL"
"Multi Upload";"Multi Upload"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"
"Claim For Listing";"Claim For Listing"
"Enter Listing Title";"Enter Listing Title"
"Your Name";"Your Name"
"Your Email";"Your Email"
"Contact Number";"Contact Number"
"Reason For Claim";"Reason For Claim"
"Write New Entry";"Write New Entry"
"All Reviews";"All Reviews"
"Recommended Only";"Recommended Only"
"Compose your new listing entry below, then click ""Post Entry"" to publish the entry to your listing.";"Compose your new listing entry below, then click ""Post Entry"" to publish the entry to your listing."
"Custom Url";"Custom Url"
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Upload photos";"Upload photos"
"Main Photo";"Main Photo"
"Listing Description";"Listing Description"
"Listing Layout";"Listing Layout"
"Set Your Listing Template";"Set Your Listing Template"
"Who may see this listing entry?";"Who may see this listing entry?"
"Who may post comments on this listing entry?";"Who may post comments on this listing entry?"
"Comment Privacy";"Comment Privacy"
"Privacy";"Privacy"
"Status";"Status"
"Post Entry";"Post Entry"
"Video Uploads";"Video Uploads"
"Who may upload videos to this listing?";"Who may upload videos to this listing?"
"Music Uploads";"Music Uploads"
"Who may upload musics to this listing?";"Who may upload musics to this listing?"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this listing entry?";"Are you sure you want to delete this listing entry?"
"Edit Listing Entry";"Edit Listing Entry"
"Edit your entry below, then click ""Save Changes"" to publish the entry on your listing.";"Edit your entry below, then click ""Save Changes"" to publish the entry on your listing."
"Custom Fields Entry";"Custom Fields Entry"
"Edit custom fields below, then click ""Post Form"" to publish the entry on your listing.";"Edit custom fields below, then click ""Post Form"" to publish the entry on your listing."
"Choose the location.";"Choose the location."
"Add Location";"Add Location"
"Edit Location";"Edit Location"
"Search Listings";"Search Listings"
"Browse By";"Browse By"
"Only Listings With Photos";"Only Listings With Photos"
"Seslisting Styles";"Seslisting Styles"
"Subscribe";"Subscribe"
"Unsubscribe";"Unsubscribe"
"Edit Review";"Edit Review"
"Delete Review";"Delete Review"
"Back To Listing";"Back To Listing"
"Cancel Uploading";"Cancel Uploading"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."
"Edit Photo";"Edit Photo"
"Image Description";"Image Description"
"Photo Albums";"Photo Albums"
"View More";"View More"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s listing";"%s listing";"%s listings"
"%s favourite";"%s favourite";"%s favourites"
"%s rating";"%s rating";"%s ratings"
"%s photo";"%s photo";"%s photos"
"Albums";"Albums"
"Listing Roles";"Listing Roles"
"Contact Information";"Contact Information"
"Below, you can add admins to your listing who all will be able to do anything on your listing as you do including editing, creating sub listing, etc.";"Below, you can add admins to your listing who all will be able to do anything on your listing as you do including editing, creating sub listing, etc."
"Type Member Name";"Type Member Name"
"Add Another Member";"Add Another Member"
"Save Admin";"Add Admin"
"Admins";"Admins"
"And so when Rihanna, in the middle of soaking up the sun on her swan float — a required activity for all celebrities — realized that she was losing her balance, her priorities were clear. RiRi gloriously emerged like Aphrodite from the water, wine glass in hand.";"Here, you can see a list of admins added by you for this listing."
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"View Listing";"View Listing"
"Delete Listing";"Delete Listing"
"FEATURED";"FEATURED"
"SPONSORED";"SPONSORED"
"VERIFIED";"VERIFIED"
"Location";"Location"
"Name";"Name"
"Enter a location";"Enter a location"
"Seslistings";"Seslistings"
"You have already uploaded the maximum number of entries allowed.";"You have already uploaded the maximum number of entries allowed."
"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first.";"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first."
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"by";"by"
"Read More...";"Read More..."
"Edit Listing";"Edit Listing"
"Start Time";"Start Time"
"Listing Schedule date is in the past. Please enter an listing scheduled date greater than or equal to today\'s date.'";"Listing Schedule date is in the past. Please enter an listing scheduled date greater than or equal to today\'s date.'"
"Edit Thumbnail";"Edit Thumbnail"
"Read More";"Read More"
"Share Review";"Share Review"
"Description";"Description"
"listings found.";"listings found."
"listing found.";"listing found."
"List View";"List View"
"Advanced List View";"Advanced List View"
"Grid View";"Grid View"
"Advanced Grid View";"Advanced Grid View"
"Super Advanced Grid View";"Super Advanced Grid View"
"Pinboard View";"Pinboard View"
" by ";" by "
"Nobody has posted a listing with that criteria.";"Nobody has posted a listing with that criteria."
"Be the first to %1$spost%2$s one";"Be the first to %1$spost%2$s one"
"There are currently no %s";"There are currently no %s"
"%1$spost%2$s one!";"%1$spost%2$s one!"
"Post New Video";"Post New Video"
"Nobody has created a listing yet.";"Nobody has created a listing yet."
"Category:";"Category:"
"click to rate";"click to rate"
"terrible";"terrible"
"poor";"poor"
"average";"average"
"very good";"very good"
"excellent";"excellent"
"Overall Rating";"Overall Rating"
"Share";"Share"
"Share This %s";"Share This %s"
"Private Message";"Private Message"
"Share on Site";"Share on Site"
"Quick Share on Site";"Quick Share on Site"
"Upload Cover Photo";"Upload Cover Photo"
"Take Photo";"Take Photo"
"Add Cover Photo";"Add Cover Photo"
"Change Cover Photo";"Change Cover Photo"
"Remove Cover Photo";"Remove Cover Photo"
"Added %1$s";"Added %1$s"
"Album Info";"Album Info"
"Discussion";"Discussion"
"Photos";"Photos"
"Options";"Options"
"Add More Photos";"Add More Photos"
"Edit Settings";"Edit Settings"
"By";"By"
"No description found.";"No description found."
"Click to Take Cover Photo";"Click to Take Cover Photo"
"Take Cover Photo""";"Take Cover Photo"""
"Select a cover photo";"Select a cover photo"
"No category found.";"No category found."
"Contact Email";"Contact Email"
"Contact Phone Number";"Contact Phone Number"
"Website URL";"Website URL"
"Facebook URL";"Facebook URL"
"Write a Review";"Write a Review"
"about";"about"
"Pros: ";"Pros: "
"Cons: ";"Cons: "
"Description: ";"Description: "
"Continue Reading";"Continue Reading"
"No review have been posted in this listing yet.";"No review have been posted in this listing yet."
"Share it";"Share it"
"SHARE ON FACEBOOK";"SHARE ON FACEBOOK"
" SHARE ON TWITTER";" SHARE ON TWITTER"
" PIN THIS POST";" PIN THIS POST"
"Featured";"Featured"
"Verified";"Verified"
"For ";"For "
"Continue Reading »";"Continue Reading »"
"No review have been posted yet.";"No review have been posted yet."
"Nobody has created an listing yet.";"Nobody has created an listing yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Categories";"Categories"
"No listing in this  category.";"No listing in this  category."
"Be the first to %1$spost%2$s one in this category!";"Be the first to %1$spost%2$s one in this category!"
"Claim New Listing";"Claim New Listing"
"Your Claim Requests";"Your Claim Requests"
"Listing Owner: <a href="""">admin</a>";"Listing Owner: <a href="""">admin</a>"
"Previous";"Previous"
"Next";"Next"
"Add Tag";"Add Tag"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Open image in image viewer";"Open image in image viewer"
"Photo %1$s of %2$s";"Photo %1$s of %2$s"
"in %1$s";"in %1$s"
"Tagged";"Tagged"
"Make Profile Photo";"Make Profile Photo"
"Posted";"Posted"
"Add New Album";"Add New Album"
"%s album found";"%s album found";"%s albums found"
"Manage Photos";"Manage Photos"
"%s <span>photo</span>";"%s <span>photo</span>";"%s <span>photos</span>"
"Reviews";"Reviews"
"Summary";"Summary"
"For";"For"
"See All Tags";"See All Tags"
"Anything in here will be replaced on browsers that support the canvas element";"Anything in here will be replaced on browsers that support the canvas element"
"Total Listing:";"Total Listings:"
"<i>Posted by -</i>";"<i>Posted by -</i>"
"<i>on - </i>";"<i>on - </i>"
"<i>Filed in - </i>";"<i>Filed in - </i>"
"Create Sub Listing";"Create Sub Listing"
"Dashboard";"Dashboard"
"Delete This Listing";"Delete This Listing"
"Post Comment";"Post Comment"
"ITEM_TYPE_SESLISTING_ALBUM";"Listing Albums"
"ITEM_TYPE_SESLISTING_LISTING";"Listings"
"ITEM_TYPE_SESLISTING_REVIEW";"Listing Reviews"
"ADMIN_ACTIVITY_TYPE_LISTING_NEW";"When a user (subject) posts a new listing entry (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_LISTING";"When a user (subject) comments on another user's (object) listing entries."
"_ACTIVITY_ACTIONTYPE_LISTING_NEW";"New listing entries"
"_ACTIVITY_ACTIONTYPE_COMMENT_LISTING";"Comments on your listings"
"ACTIVITY_TYPE_COMMENTED_LISTING";"When someone comments on a listing I commented on."
"ACTIVITY_TYPE_COMMENT_LISTING";"When someone comments on one of my listing entries."
"ACTIVITY_TYPE_LIKED_LISTING";"When someone comments on a listing entry I liked."
"ACTIVITY_TYPE_LIKE_LISTING";"When someone likes one of my listing entries."
"ACTIVITY_TYPE_LISTING_NEW";"When a new listing entry is posted."
"ACTIVITY_TYPE_LISTING_SUBSCRIBED_NEW";"When a new listing entry is posted by a member you have subscribed to."
"{item:$subject} wrote a new seslisting entry:";"{item:$subject} wrote a new listing entry:"
"{item:$subject} commented on {item:$owner}'s {item:$object:seslisting entry}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:listing entry}: {body:$body}"
"ITEM_TYPE_LISTING";"Listing Entries"
"{item:$subject} has posted a new seslisting entry: {item:$object}.";"{item:$subject} has posted a new listing entry: {item:$object}."
"Are you sure you want to delete this seslisting entry?";"Are you sure you want to delete this listing entry?"
"Recent Entries";"Recent Entries"
"Tags";"Tags"
"_EMAIL_NOTIFY_SESLISTING_SUBSCRIBED_NEW_TITLE";"Listing Subscription"
"_EMAIL_NOTIFY_SESLISTING_SUBSCRIBED_NEW_DESCRIPTION";"This email is sent to someone when a listing entry is posted by a member to whom they have subscribed."
"_EMAIL_NOTIFY_SESLISTING_SUBSCRIBED_NEW_SUBJECT";"[sender_title] posted a new listing entry: [object_title]"
"_EMAIL_NOTIFY_SESLISTING_SUBSCRIBED_NEW_BODY";"[header]

[sender_title] has posted a new listing entry: [object_title].
Please click the following link to view it:

http://[host][object_link]

[footer]"
"_EMAIL_SESLISTING_LISTING_OWNER_CLAIM_TITLE";"SES - Advanced Listings - Claim Request to Listing Owner"
"_EMAIL_SESLISTING_LISTING_OWNER_CLAIM_DESCRIPTION";"This email is sent to the listing owner when a member claim their listing."
"_EMAIL_SESLISTING_LISTING_OWNER_CLAIM_SUBJECT";"A member has claimed your listing."
"_EMAIL_SESLISTING_LISTING_OWNER_CLAIM_BODY";"[header]

[sender_title] has sent you a message using the Claim For Listing page:"
"_EMAIL_SESLISTING_SITE_OWNER_FOR_CLAIM_TITLE";"SES - Advanced Listings - Claim Request to Site Owner"
"_EMAIL_SESLISTING_SITE_OWNER_FOR_CLAIM_DESCRIPTION";"This email is sent to site owners to take action on claim request for listing."
"_EMAIL_SESLISTING_SITE_OWNER_FOR_CLAIM_SUBJECT";"A member has claimed a listing."
"_EMAIL_SESLISTING_SITE_OWNER_FOR_CLAIM_BODY";"[header]

[sender_title] has sent you a message to take action on the claim request for listing:

[message]

[footer]"
"_EMAIL_SESLISTING_CLAIM_OWNER_APPROVE_TITLE";"SES - Advanced Listings - Claim Approval to Listing Owner"
"_EMAIL_SESLISTING_CLAIM_OWNER_APPROVE_DESCRIPTION";"This email is sent to the listing owner when site admin approve the claim request of listing."
"_EMAIL_SESLISTING_CLAIM_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the listing."
"_EMAIL_SESLISTING_CLAIM_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESLISTING_LISTING_OWNER_APPROVE_TITLE";"SES - Advanced Listings - Claim Approval to Listing Owner"
"_EMAIL_SESLISTING_LISTING_OWNER_APPROVE_DESCRIPTION";"This email is sent to the listing owner when site admin approve the claim request of listing."
"_EMAIL_SESLISTING_LISTING_OWNER_APPROVE_SUBJECT";"Site owner has approved your claim request for the listing."
"_EMAIL_SESLISTING_LISTING_OWNER_APPROVE_BODY";"[header]

[sender_title] has sent you a message for approval of the claim:

[message]

[footer]"
"_EMAIL_SESLISTING_CLAIM_OWNER_REQUEST_CANCEL_TITLE";"SES - Advanced Listings - Claim Rejection to Claimer"
"_EMAIL_SESLISTING_CLAIM_OWNER_REQUEST_CANCEL_DESCRIPTION";"This email is sent to the claimer when site admin rejects the claim request of listing."
"_EMAIL_SESLISTING_CLAIM_OWNER_REQUEST_CANCEL_SUBJECT";"Site owner has rejected your claim request for the listing."
"_EMAIL_SESLISTING_CLAIM_OWNER_REQUEST_CANCEL_BODY";"[header]

[sender_title] has sent you a message for rejection of the claim:

[message]

[footer]"
"Listing Home";"Listing Home"
"Browse Listings";"Browse Listings"
"My Listings";"My Listings"
"Write New Listing";"Write New Listing"
"Listings";"Listings"
"Everyone's Listings";"Everyone's Listings"
"Only My Friend's Listings";"Only My Friend's Listings"
"Listing Reviews";"Listing Reviews"
"Listing Schedule date is in the past. Please enter an listing scheduled date greater than or equal to today's date.";"Listing Schedule date is in the past. Please enter an listing scheduled date greater than or equal to today's date."
"Share This Listing";"Share This Listing"
"Listings Home";"Listings Home"
"Recent Listings";"Recent Listings"
"Popular Listings";"Popular Listings"
"Recommend Listing";"Recommend Listing"
"Listings Created";"Listings Created"
"Explore Popular Listings";"Explore Popular Listings"
"Verified Listing";"Verified Listing"
"Most Commented Listings";"Most Commented Listings"
"Listing of the Day";"Listing of the Day"
"Most Favourite Listings";"Most Favourite Listings"
"Most Read Listings";"Most Read Listings"
"%s LISTING";"%s LISTING";"%s LISTINGS"
"Sponsored Listing Posts";"Sponsored Listing Posts"
"_ACTIVITY_ACTIONTYPE_COMMENT_SESLISTING";"Comments on your listings"
"_ACTIVITY_ACTIONTYPE_SESLISTING_LISTING_FAVOURITE";"Marking listings as favorite"
"_ACTIVITY_ACTIONTYPE_SESLISTING_LISTING_LIKE";"Liking listing"
"_ACTIVITY_ACTIONTYPE_SESLISTING_ALBUM_LIKE";"Liking listing photo"
"_ACTIVITY_ACTIONTYPE_SESLISTING_PHOTO_LIKE";"Liking listing album photo"
"_ACTIVITY_ACTIONTYPE_SESLISTING_NEW";"New listing enteries"
"ACTIVITY_TYPE_SESLISTING_CLAIM_APPROVE";"When your claim for a listing is approved."
"ACTIVITY_TYPE_SESLISTING_CLAIM_DECLINED";"When your claim for a listing is declined."
"ACTIVITY_TYPE_SESLISTING_OWNER_INFORMED";"When someone's claim on your listing is approved."
"ACTIVITY_TYPE_SESLISTING_SUBSCRIBED_NEW";"When a new listing entry is posted by a member you have subscribed to."
"ACTIVITY_TYPE_SESUSER_CLAIM_LISTING";"When someone claims your listing."
"ADMIN_ACTIVITY_TYPE_SESLISTING_NEW";"When a new listing entry is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_SESLISTING";"When a user (subject) comments on another user's (object) listing."
"ADMIN_ACTIVITY_TYPE_SESLISTING_LISTING_FAVOURITE";"When a user (subject) mark another user's (object) listing as favourite."
"ADMIN_ACTIVITY_TYPE_SESLISTING_LISTING_LIKE";"When a user (subject) likes another user's (object) listing."
"ADMIN_ACTIVITY_TYPE_SESLISTING_ALBUM_LIKE";"When a user (subject) likes another user's (object) listing's album."
"ADMIN_ACTIVITY_TYPE_SESLISTING_PHOTO_LIKE";"When a user (subject) likes another user's (object) listing album's photo."
